sample_id,measurement_type,measurement_unit,measurement_value
905,volume,litres,13
909,volume,litres,4
20,volume,litres,15
36,volume,litres,19
49,volume,litres,8
51,volume,litres,4
56,volume,litres,13
57,volume,litres,8
84,volume,litres,13
779,volume,litres,11
820,volume,litres,9
821,volume,litres,2
823,volume,litres,4
825,volume,litres,1
826,volume,litres,1
836,volume,litres,8
840,volume,litres,10
843,volume,litres,6
844,volume,litres,4
846,volume,litres,0
850,volume,litres,10
656,volume,litres,2
658,volume,litres,0
666,volume,litres,28
669,volume,litres,29
570,volume,litres,11
571,volume,litres,8
572,volume,litres,10
579,volume,litres,5
582,volume,litres,22
588,volume,litres,13
622,volume,litres,4
631,volume,litres,24
