find_id,production_period
10171,;ROMAN;
10175,;ROMAN;
10451,;ROMAN;
10531,;ROMAN;
1062,Roman
1063,155/185
1077,AD65-85
1078,Roman
1121,Victorian
11221,Roman
1142,140/165
1158,Hadrianic-Antonine
1166,Hadrianic-Antonine
1180,Roman
1204,Roman
1214,145/175
1231,367/375
1231,4th Century
1232,AD43-80
1247,Roman
1250,Roman
12531,;ROMAN;
1255,AD1-50
1255,LPRIA
12561,;ROMAN;
1257,Roman
1260,Roman
12681,;ROMAN;
12711,;ROMAN;
12751,;ROMAN;
12755,;ROMAN;
1286,AD43-80
12881,;ROMAN;
12885,;ROMAN;
12961,;ROMAN;
12965,;ROMAN;
13081,;ROMAN;
1320,140/160
13321,;ROMAN;
13441,Roman
13491,;ROMAN;
13741,;ROMAN;
13831,;ROMAN;
14001,;ROMAN;
14051,Roman
14071,;ROMAN;
14141,;ROMAN;
14151,;ROMAN;
14201,;ROMAN;
14221,;ROMAN;
14231,;ROMAN;
14261,;ROMAN;
14341,;ROMAN;
14481,;ROMAN;
14521,;ROMAN;
14541,;ROMAN;
1461,Roman
1476,364/378
1476,4th Century
1489,Roman
14895,;ROMAN;
15051,;ROMAN;
15091,Roman
15645,;ROMAN;
16651,;ROMAN;
16901,;ROMAN;
1711,Roman
17321,Roman
17325,;ROMAN;
17331,;ROMAN;
17981,;ROMAN;
17985,;ROMAN;
2013,40-55
2022,70/90
2079,Roman
2155,Roman
2194,70/90
2197,AD 3rd?
2198,Roman
2202,160/190
2205,Roman
2207,145/175
2214,Roman
2225,AD 2nd?
2249,Roman
2257,Roman
2263,Roman
2269,AD43-60/5
2271,140/170
2304,Roman
2313,Roman
2315,Med/Post Med?
2331,Roman
2344,Roman
2348,Roman
2355,Roman
2382,Roman
2389,Roman
2391,Roman
2421,Late Rom.
2422,Roman
2437,Roman
2477,2nd Century
2477,3rd-4th Cent
2484,Mid.1st- L. 2nd
2486,2nd half 1st C.
2486,40/80
2487,Late 1st-2nd C.
2501,2nd half 1stC.
2535,Roman
2547,Roman
2549,1st Century
2549,AD75-
2574,Roman
2575,Roman
2576,2nd Century
2576,Roman
2587,160/190
2589,2nd Cent.
2613,Roman
2614,Roman
2615,1st Century
2615,69/79
2615,72-79
2617,Roman
2635,1st Century
2635,cAD43-100
2639,AD43-80/5
2642,2nd-3rd C.
2686,150/175
2691,160/190
2727,Roman
2740,1st Century
2740,69/79
2745,Roman
2747,Roman
2752,Roman
2756,Roman
2760,AD 43-80
2763,Roman
2767,Roman
2772,Roman
2773,50/65
2776,Roman
2783,Roman
2786,AD 10-50
2786,LPRIA
2793,Roman
2796,Early Roman
2815,Roman
2824,Roman
2828,Roman
2846,4th Century
2846,c. 364-75
2856,Roman
2860,Mid 1st- 2nd C
2866,Roman
2877,C1st-C2nd
2883,100/120
2924,Roman
2926,c. 72-3
2942,Roman
2952,45/65
2958,40-55
2961,Roman
2963,40s-50s
2964,Roman
2965,Roman
2975,Roman
2985,Late1st-early 2nd Century
2985,Late1st-early 2nd cent
2990,84
2999,Roman
3001,Roman
3002,LIA?
3011,Roman
3017,Roman
3022,Roman
3025,Roman
3037,2nd Century
3044,Roman
3048,Roman
3049,AD 43-60/1
3049,cAD43 - 80
3075,Roman
3079,120/145
3082,Roman
3084,10/50
3084,1st half C1st
3084,LPRIA
3085,Roman
3086,Roman
3098,Roman
3110,late 1st BC?
3112,Roman
3129,95-96?
3133,c. AD 43- 80
3133,cAD43-80
3155,Roman
3164,100/120
3175,150/180
3179,Roman
3256,c AD 65-150
3256,late 1st -mid 2nd Century
3288,Roman
3292,Roman
3295,Roman
3297,Roman
3309,LIA / ER
3309,Roman
3320,Roman
3338,Roman
3340,Roman
3363,Roman
3381,Roman
3384,Roman
3385,Roman
3439,Roman
3484,Roman
3493,Roman
3506,Roman
3515,LIA / ER
3554,Roman
3581,Roman
3628,Roman
3635,Roman
3648,Roman
3679,43/85
3679,AD43-80
3697,Roman
3717,Early Roman
3758,10/50
3758,1st half C1st
3758,LPRIA
3764,Roman
3777,1st Century
3777,40/60
3778,Roman
3779,Roman
3783,Roman
3790,Roman
3793,Roman
3812,Roman
3815,AD50-70
3829,Roman22
3836,1st Century
3836,66/68
3843,Roman
3854,Roman
3875,Roman
3879,Roman
3880,Early Roman
3890,Roman
3908,Early Roman
3913,AD43-80/5
3922,Roman
3928,Roman
3932,Roman
3933,50/70
3933,AD50-70
3939,ROMAN
3946,Roman
3948,Roman
3953,Roman
3962,Roman
3964,LIA / ER
3985,1st Century
4003,50BC-AD50
4018,Roman
4027,Roman
4028,Roman
4043,Roman
4044,AD40-60/5
4044,Roman
4045,10/50
4045,1st half C1st
4045,LPRIA
4046,1st Century
4058,Roman
4062,LIA / ER
4065,1st 1/2 C1st
4077,"1st C BC, 1st C AD"
4089,AD43-80/5
4095,Roman
6402,160/260
6402,2nd-3rd Century
651,Roman
652,271/285
652,3rd Century
674,Roman
678,4th Century
683,Roman
702,Roman
742,4th Century
742,Roman
7435,;ROMAN;
746,Roman
774,Roman
7775,Roman
7885,;ROMAN;
789,?modern
7965,;ROMAN;
801,Roman
803,AD43-80/5
805,Roman
807,Early Roman
827,Roman
830,Roman
838,3rd-4th Cent
8515,;ROMAN;
854,70/90
8975,;ROMAN;
904,Roman
945,4th Century
962,Roman
963,2nd Century
965,130/155
966,65/85
971,AD 4th century
975,2nd AD
979,Roman
983,364/378
983,4th Century
